meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,6.478950574,6.454945436,6.445795966,6.390893306,6.28564704,6.193452291,6.188333336,6.283998398,6.417990249,6.505529938,6.510512402,6.466827195,6.434320592,6.437973469,6.452127584,6.442104782,6.414964862,6.421686866,6.504444987,6.642184126,6.753651613,6.761526869,6.659135347,6.515425506,156.7195205,158.4730411,160.2265616,161.9800822,163.7336027,165.4871233,167.2406438,168.9941644,170.7476849,172.5012055,5673.692192,7358.825438,8725.915274,10674.73279,11934.85788
X7,1.740804295,1.744283217,1.685580876,1.621687428,1.62532397,1.725636638,1.895172474,2.085365286,2.267359523,2.437302938,2.588769362,2.691790612,2.709129643,2.636106754,2.518838944,2.422989008,2.376022042,2.338467699,2.237501399,2.037336666,1.782242805,1.569375208,1.472389856,1.483207121,50.64773434,45.43924855,42.85598374,41.62331318,41.08548122,40.90512202,40.90867141,41.00683602,41.15367722,41.32556099,1340.062517,1507.807243,1640.721584,1883.017364,2003.828153
X10,3.933583736,3.982067405,3.897120485,3.748701788,3.681511443,3.811158016,4.152658699,4.629966298,5.14186658,5.617836493,6.021686324,6.320038013,6.465092647,6.41699148,6.180614136,5.811169384,5.37516527,4.903740128,4.388369124,3.827090803,3.273565029,2.830633978,2.580790991,2.511564322,95.40771668,87.83760263,86.00474338,85.74012593,85.90417732,86.18540259,86.49865659,86.82066544,87.14506737,87.47012343,2787.029755,3084.692493,3282.837727,3699.838809,3878.140613
X16,4.142912478,4.176482315,4.220600239,4.199914386,4.137525279,4.081409385,4.058673939,4.104656416,4.304049113,4.75342353,5.446285136,6.194236036,6.698597177,6.753987661,6.421593052,6.005743619,5.826856238,5.968591887,6.212850822,6.220793089,5.807511078,5.081944467,4.347931914,3.869024962,121.9658722,117.6753852,115.8890957,115.3189089,115.339293,115.6464733,116.0929294,116.6070214,117.153959,117.7168474,3774.680338,4311.687453,4701.42284,5404.586415,5759.066996
X18,2.616019409,2.620133251,2.621613254,2.627471507,2.640593852,2.655211477,2.659837193,2.646073344,2.6160379,2.58184496,2.557268918,2.548409392,2.550805777,2.554615802,2.55268041,2.544647282,2.534800187,2.527099541,2.522601753,2.520884232,2.522550439,2.529151523,2.540426442,2.552453671,65.58461644,66.29423288,67.00384932,67.71346575,68.42308219,69.13269863,69.84231507,70.55193151,71.26154795,71.97116438,2363.094753,3045.036151,3596.108219,4386.920836,4894.706301
X20,1.07369221,1.090914835,1.088644792,1.067343979,1.051159935,1.053759855,1.06112359,1.05070205,1.024359034,1.015239993,1.055549048,1.1359058,1.201080033,1.193916333,1.11005663,1.010344217,0.974089056,1.031902953,1.138194738,1.208788862,1.190272865,1.09986891,1.00343374,0.956206774,15.55975856,60.67493649,21.4417265,57.38094181,26.32547393,54.97657474,30.41637318,53.27880472,33.87754359,52.14225757,1440.091936,1948.225257,2356.280525,2921.801477,3298.810171
X26,1.226892744,1.155842617,1.200066242,1.351537208,1.530530619,1.642067472,1.64820829,1.592064464,1.552258148,1.570346597,1.617737888,1.63008797,1.573426464,1.478297156,1.411427772,1.414870527,1.471232832,1.524644736,1.531762327,1.491043757,1.425808622,1.346683676,1.239274255,1.092719301,33.65359563,33.61745477,33.58131392,33.54517306,33.50903221,33.47289135,33.4367505,33.40060964,33.36446878,33.32832793,1026.455967,991.7246044,926.6646052,923.3822463,860.5268393
X30,3.378290141,2.519797331,2.146438342,2.087147973,2.115795612,2.055616234,1.863681128,1.67120445,1.737133909,2.299694703,3.39170416,4.751781621,5.930724671,6.555501875,6.574362737,6.292889633,6.154929056,6.418378075,6.962898303,7.368972846,7.203492996,6.301412137,4.855632675,3.28378054,126.5813282,118.8658388,117.6162247,118.0340978,118.8819999,119.8408024,120.828205,121.8229833,122.8196637,123.8168347,4039.646152,4982.270651,5734.119646,6868.243284,7559.254452
X31,0.279899421,0.250081676,0.269486356,0.322165232,0.38451336,0.440860623,0.487646851,0.526352526,0.555589018,0.571225902,0.573001173,0.568367857,0.567510512,0.573820234,0.580191615,0.5762403,0.559927849,0.541315498,0.53305877,0.535733769,0.532724427,0.501755107,0.434663828,0.348286014,11.20072604,11.31745207,11.43417811,11.55090414,11.66763018,11.78435622,11.90108225,12.01780829,12.13453433,12.25126036,401.5001139,513.6738347,603.9080341,734.4027691,817.5166803
X32,0.187613567,0.092492837,0.064938772,0.125018392,0.255891428,0.409540436,0.533300393,0.598759285,0.612406522,0.602225526,0.593375159,0.592859657,0.592772981,0.584816276,0.570748724,0.560152643,0.560166004,0.568389546,0.574848162,0.568822598,0.542655276,0.490494448,0.407739281,0.296895877,11.82290541,11.82290541,11.82290541,11.82290541,11.82290541,11.82290541,11.82290541,11.82290541,11.82290541,11.82290541,366.5100676,366.5100676,354.6871622,366.5100676,354.6871622
X35,0.005793053,0.005813302,0.0058515,0.00586732,0.005845539,0.005812818,0.005812576,0.005861638,0.005930905,0.00596955,0.005950215,0.005892556,0.005843683,0.005835585,0.005860544,0.005886194,0.005892137,0.005889909,0.005906805,0.005952005,0.006001696,0.006020072,0.005995581,0.005954995,0.142851351,0.142851351,0.142851351,0.142851351,0.142851351,0.142851351,0.142851351,0.142851351,0.142851351,0.142851351,4.428391873,4.428391873,4.285540523,4.428391873,4.285540523
X37,7.066620917,6.038513822,4.843093715,3.912286085,3.461877371,3.384255529,3.41175903,3.370292876,3.281955778,3.250841251,3.290214428,3.294316621,3.186174482,3.069775177,3.196997975,3.750226685,4.645393841,5.561873728,6.191817852,6.480859121,6.628969401,6.847396267,7.107040146,7.12876676,119.6293688,114.9748759,113.9621326,114.0785664,114.5451178,115.1202282,115.728999,116.3482065,116.9706502,117.5940973,3772.544562,4361.021757,4791.210319,5540.812903,5932.943687
X41,3.083715148,3.118197652,3.090942602,2.848550222,2.339541596,1.685114456,1.104127008,0.759654865,0.665841632,0.730722497,0.877645204,1.11704667,1.499762558,2.009829867,2.519364048,2.865024073,2.978983575,2.946150298,2.927210115,3.017565223,3.175120619,3.281617346,3.270286525,3.188564953,40.95179594,38.59263294,37.46118138,36.82069244,36.37653977,36.0109021,35.67666263,35.35497932,35.03831723,34.72366313,1023.810166,717.0324661,407.2182496,124.5519164,-166.1500244
X42,1.903935017,1.851669078,1.794368211,1.722138964,1.633090928,1.541593928,1.468144572,1.42155855,1.393832297,1.375101389,1.373526843,1.416753569,1.528159496,1.697384677,1.874191415,1.996175721,2.030208644,1.993526918,1.937005757,1.905524857,1.908828316,1.924558172,1.925378482,1.902595739,48.0469497,43.89403895,42.68224788,42.53638857,42.7768483,43.15731924,43.58853357,44.03813852,44.49440866,44.95309443,1490.44061,1921.209296,2280.188702,2791.180687,3122.0965
X43,0.078745077,0.147715976,0.17736063,0.118155063,0.013949247,0.038829639,0.029081461,0.208577248,0.426231683,0.601971507,0.697185453,0.719695801,0.697097736,0.654025287,0.612060884,0.597501688,0.631843675,0.704533428,0.758411567,0.716967554,0.543853841,0.285985178,0.05507603,0.047500546,15.12821406,16.55341217,15.55931573,16.25271247,15.76905814,16.10641408,15.8711034,16.03523603,15.92075113,16.00060601,494.5069941,495.0016014,479.033801,495.0015944,479.033801
X44,1.771859117,1.746207629,1.575673458,1.591710741,2.004026789,2.514983377,2.412103242,1.163944684,0.995301712,3.079288899,4.035084853,3.543307374,2.234680139,1.131052707,0.809067559,1.015152238,1.024202738,0.354998426,0.82775171,1.942310769,2.553235529,2.698257425,2.708879624,2.789114262,40.67429913,40.45641706,40.23853499,40.02065293,39.80277086,39.58488879,39.36700673,39.14912466,38.93124259,38.71336053,1159.588112,950.2034459,720.1896309,538.1884579,321.4654489
X47,0.520036385,0.522880025,0.52634581,0.523347834,0.515077969,0.506791647,0.502284996,0.501988754,0.504490271,0.507911783,0.509240813,0.503753421,0.487720024,0.463759321,0.443532892,0.442768653,0.469999679,0.517374138,0.562226391,0.580219164,0.561083885,0.515077911,0.465286142,0.432018777,84.35813677,122.534346,152.4343717,176.0097737,194.7519259,209.8005294,222.0265391,232.0955348,240.5161499,247.6770795,8029.674469,11619.05661,14061.25512,17440.71957,19694.97626
X50,8.715322162,7.752934156,6.950859135,6.464685949,6.165114489,5.827358033,5.401902695,5.077400458,5.068771843,5.357563411,5.67182011,5.750701088,5.636899814,5.68863053,6.266676265,7.376695398,8.608859677,9.445530344,9.661087268,9.451980081,9.193193857,9.068553462,8.927704466,8.487285763,165.9037198,155.9299666,153.8787713,154.2717206,155.4186996,156.7983001,158.2496653,159.7231703,161.2035056,162.685948,5343.121104,6744.691074,7884.415352,9549.767319,10599.00527
X51,18.28280724,17.11825123,15.9127378,14.43400218,12.65470325,10.86021774,9.493929342,8.850101106,8.868135559,9.20542473,9.53000297,9.787933169,10.22838724,11.18067557,12.77872752,14.84717651,17.00304426,18.85069789,20.11188953,20.64196615,20.40343983,19.47440169,18.07422089,16.51924608,347.6393378,313.4202094,313.4202094,313.4202094,313.4202094,313.4202094,313.4202094,313.4202094,313.4202094,313.4202094,9750.245621,9716.026492,9402.606283,9716.026492,9402.606283
X55,11.54583512,7.143779617,4.625047991,4.056892324,4.203515434,4.073571462,4.051819581,5.450674099,8.947167111,13.52991197,17.09805508,18.205823,17.2806076,16.13169358,16.23210953,17.44387946,18.38901123,18.01839062,16.7490131,16.00396275,16.62694013,17.80618318,17.65818411,14.96680073,310.975167,306.8227553,307.3021224,308.8875946,310.7372134,312.6499125,314.5776756,316.5090361,318.4412558,320.3736806,10301.52828,12148.14853,13524.50034,15802.48551,17060.95548
X59,1.042713336,0.846652185,1.030767305,1.336695677,1.490564103,1.43678397,1.436860282,1.916558089,3.135868653,4.920539636,6.679452588,7.728949796,7.708918957,6.799201294,5.592008641,4.72525779,4.534627388,4.933011426,5.540791953,5.930979663,5.829035982,5.193722228,4.196199595,3.138239802,97.35797738,71.9778635,81.071248,78.81737421,80.2985513,80.55030322,81.20673135,81.72995671,82.29702695,82.84966526,2686.503514,3206.342563,3611.846408,4258.140014,4629.714909
X61,1.060174634,0.796292445,0.84232114,0.950221923,0.929814188,0.865391245,1.058035426,1.730981509,2.773564956,3.776006021,4.338248728,4.377937308,4.163479642,4.055571201,4.205340475,4.478397956,4.642128131,4.603647754,4.460674234,4.338739688,4.212185758,3.91471051,3.335147253,2.587778293,68.28170605,68.40082345,68.51994084,68.63905823,68.75817563,68.87729302,68.99641041,69.11552781,69.2346452,69.3537626,2172.122476,2286.594291,2321.8256,2511.845282,2539.81043
X62,0.561680159,0.573262851,0.577995267,0.559068357,0.528030119,0.512982115,0.530854002,0.571631939,0.610002029,0.631961488,0.648753058,0.683399049,0.74321137,0.806566176,0.83864663,0.822031277,0.772676828,0.725544335,0.703539406,0.699543951,0.688193427,0.654744004,0.611906726,0.588053254,17.21573198,22.21753593,19.88163917,21.46063879,20.95091685,21.55559421,21.56570414,21.89303468,22.05111795,22.29950002,729.2667681,939.8058683,1108.013594,1350.088893,1505.061682
X67,0.040621248,0.193861269,0.27746969,0.259942009,0.226662079,0.273902249,0.379834883,0.396313126,0.184283562,0.235215411,0.66883752,0.901845163,0.875959666,0.726649728,0.644541688,0.693910772,0.761190053,0.678964945,0.400988913,0.057196143,0.162041548,0.17651087,0.076479133,0.020983631,17.47729191,16.61192504,16.40429024,16.33659842,16.2986817,16.2671001,16.23686641,16.2069195,16.17703361,16.1471607,496.3543911,466.3017501,423.929257,409.8187143,369.2682546
X68,2.455103051,2.785345772,2.844943534,2.592145691,2.283778137,2.246901285,2.66767162,3.533526859,4.694067496,5.92569477,6.954484873,7.499534307,7.398796749,6.758911462,5.971198382,5.499735838,5.550070661,5.879755358,5.942009344,5.289382771,3.930316567,2.347702636,1.157750784,0.681264701,85.54064283,93.20800754,94.37314531,94.43973685,94.32072987,94.17036615,94.01470474,93.85814828,93.70144061,93.54470739,2859.403934,2720.107003,2488.945969,2423.714666,2202.114674
X70,1.872820469,1.849880741,1.721889828,1.641338849,1.726166588,1.888868819,1.864146809,1.442123389,0.693519962,0.044027164,0.431455524,0.411850463,0.247510234,0.270075675,0.572031372,0.923260427,0.984508791,0.6138418,0.015240844,0.577229921,0.867947499,0.930109662,0.938089206,0.989122215,11.7828041,11.0317204,10.69612289,10.53576305,10.44931239,10.39403406,10.35190313,10.31531733,10.28107027,10.24780961,313.7622083,280.3410946,241.5226528,218.8057211,181.9722914
X73,0.065044329,0.060732005,0.064040828,0.071751853,0.075412676,0.07017259,0.061548058,0.062872852,0.084835046,0.126173625,0.17382906,0.21228536,0.233681278,0.240195872,0.237981906,0.229755255,0.213518677,0.187883534,0.15743032,0.131642389,0.117881846,0.115384913,0.116546494,0.114469888,4.305459426,4.628810034,4.70174759,4.720772136,4.72818941,4.73310768,4.737487924,4.741752333,4.745991803,4.750225904,147.5260336,152.1118395,151.0778604,160.1157386,158.8235691
X75,1.780008109,1.632980472,1.842845737,2.184243641,2.384353987,2.357841247,2.254183326,2.289488187,2.535360143,2.864263214,3.087006064,3.131416042,3.084710609,3.072675002,3.116681282,3.123482435,3.013249666,2.837904863,2.747300587,2.822970101,2.950762214,2.882433403,2.453262475,1.757204788,40.10911509,27.17669256,36.3890836,29.8266512,34.50138969,31.17134701,33.54349773,31.85369986,33.05742474,32.1999532,1013.667379,1009.256561,976.7000134,1009.256681,976.7000134
